Model_Pair,Dataset,Pearson_Max_Per_Row_Big,Pearson_Max_Per_Row_Small,Pearson_Max_Per_Row_Diff,Partial_Pearson_Max_Per_Row_Big,Partial_Pearson_Max_Per_Row_Small,Partial_Pearson_Max_Per_Row_Diff,Pearson_Max_Per_Row_Big_Q50,Pearson_Max_Per_Row_Big_Q90,Pearson_Max_Per_Row_Diff_Q50,Pearson_Max_Per_Row_Diff_Q90
Gemma 4 - 26B-A4B / Gemma 4 - 5B,hellaswag,0.02790685749552495,0.03274759541374039,-0.021376758173818008,0.04647524839123923,0.04870229387521264,-0.012539859190409758,0.053177952087137104,0.01095603429670008,-0.04223544742792961,-0.03357048898327532
Gemma 4 - 26B-A4B / Gemma 4 - 5B,lambada,-0.14990170593977337,-0.1448581928442325,-0.007266366378204988,-0.13537047308845632,-0.12865860244224114,-0.014231877964823779,-0.1381116001029518,-0.10222701676130246,-0.0013679777843815047,0.01804804062347872
Qwen / Qwen Small,hellaswag,0.09296007117660955,0.08526983902810896,0.013092737750369308,0.03744551013700869,0.02366928233407178,0.023538478742313688,0.06393062480392646,-0.06166996619170519,-0.013245414391153738,0.12649383958187324
Qwen / Qwen Small,lambada,0.05818600890617951,0.13561859954854463,-0.1280837603241248,0.010747414376477098,0.069704469387121,-0.09741404165839469,0.05065930801168425,0.07410683814601089,-0.16044864681320545,-0.050678447628772376
