Big Model,Small Model,Dataset,Estimator,HC_File,Pearson_Max_Per_Row_Big,Pearson_Max_Per_Row_Small,Pearson_Max_Per_Row_Diff,Difference_Pearson_Max_Per_Row,Spearman_Max_Per_Row_Big,Spearman_Max_Per_Row_Small,Spearman_Max_Per_Row_Diff,Difference_Spearman_Max_Per_Row,Partial_Pearson_Max_Per_Row_Big,Partial_Pearson_Max_Per_Row_Small,Partial_Pearson_Max_Per_Row_Diff,Pearson_Max_Per_Row_Big_Q50,Partial_Pearson_Max_Per_Row_Big_Q50,Pearson_Max_Per_Row_Small_Q50,Partial_Pearson_Max_Per_Row_Small_Q50,Pearson_Max_Per_Row_Diff_Q50,Partial_Pearson_Max_Per_Row_Diff_Q50,Pearson_Max_Per_Row_Big_Q90,Partial_Pearson_Max_Per_Row_Big_Q90,Pearson_Max_Per_Row_Small_Q90,Partial_Pearson_Max_Per_Row_Small_Q90,Pearson_Max_Per_Row_Diff_Q90,Partial_Pearson_Max_Per_Row_Diff_Q90,Avg_HC_Max_Per_Row,Median_HC_Max_Per_Row
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,StudentTSkewed,hc_values_map_agg_standard_1_new.parquet,-0.19672654671785353,-0.19781747249237963,0.015779049841144418,-0.21250559655899795,-0.15559567420404627,-0.15886232925419755,0.0008886323576732096,-0.15648430656171947,-0.0949045465661405,-0.08828014710330688,-0.016157629306842034,-0.18491327903554694,-0.10650209606433686,-0.1787672781037013,-0.09311149808188186,0.028948124502878987,-0.01795454557918689,-0.0727711215080643,-0.07694535864472499,-0.09095719571536445,-0.07753032094953369,0.06201086812658553,0.012841758737670822,3.5446181253120654,3.640077018228186
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,KDE,hc_values_per_expert_standard_1_new.parquet,-0.09785863147629022,-0.08591070399778217,-0.033163508442817666,-0.06469512303347255,-0.10611727277219996,-0.09030840043373972,-0.03230335214427129,-0.07381392062792866,-0.20941660025519668,-0.20520749275402886,-0.0023896562291314534,-0.07916168982074352,-0.1830117102063071,-0.062228459580356284,-0.17264401852132044,-0.03769979894728351,0.012056584368780916,-0.11775252121481533,-0.12256441844972325,-0.1029843659495138,-0.12431728872788396,-0.024209572149545198,0.023153856613364585,0.708676343352687,0.3365091625901099
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,KDE,hc_values_per_expert_hat_1_new.parquet,-0.09738154572155505,-0.0860018205394595,-0.03132740917843076,-0.0660541365431243,-0.11259273063375437,-0.09806968089934515,-0.029904623922986092,-0.08268810671076827,-0.19921994712477634,-0.19521763980368909,-0.0022672773133740414,-0.08487712643771603,-0.1800191079967204,-0.06809600347982747,-0.16946970983319265,-0.03560695509046874,0.0106409280021763,-0.12214882596120347,-0.1266493619143911,-0.10706329471755546,-0.1273407297074541,-0.024453999696263273,0.0207528004057031,0.4465851147612641,0.3321066507410549
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,KDE,hc_values_map_agg_hat_1_new.parquet,-0.2021714939743611,-0.2046722963467438,0.020745931662468162,-0.22291742563682926,-0.1553950476503177,-0.15858832348405616,0.0006562496109255756,-0.15605129726124328,-0.09824600226497353,-0.09380320540620836,-0.00892669859810662,-0.18914312358395877,-0.10837272953097879,-0.18519159350979908,-0.09832231141069821,0.037788748138439736,-0.005865963310354568,-0.0651709678601772,-0.05517211065497735,-0.08646106635092715,-0.06048340731771831,0.06963488247357708,0.022965678846308117,2.396547147055736,2.6492312013898305
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,KDE,hc_values_map_agg_standard_1_new.parquet,-0.19829614575264629,-0.19851930809370327,0.013027084503062395,-0.21132323025570868,-0.15644802639143002,-0.1594450081044793,0.0003855653244703928,-0.15683359171590042,-0.09936947918501661,-0.09264490568728595,-0.01619967596417128,-0.18982723319693295,-0.11285541145505315,-0.18255554397713797,-0.09915409190536519,0.02634677115525633,-0.017297616064161317,-0.08092976895860796,-0.07630728975873435,-0.09912114397976053,-0.0781861346601412,0.06323206554476177,0.016343372826028255,2.643016540445888,2.7356034501415776
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,JohnsonSU,hc_values_per_expert_standard_1_new.parquet,-0.09966645830028177,-0.08643190216931215,-0.03727603752124543,-0.062390420779036344,-0.11668516533938575,-0.09635287172947236,-0.03883210526932527,-0.07785306007006049,-0.20404587580566025,-0.19757125195405456,-0.00998853000011776,-0.08247822135855674,-0.18106346264363343,-0.06475719653027315,-0.1674339567126752,-0.03955372938123452,0.0005621684834071875,-0.1376052283277439,-0.13586399192360601,-0.12162029094033444,-0.13403455416090745,-0.024703453948451456,0.015202460291315606,0.8038629485871852,0.4732276872907207
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,JohnsonSU,hc_values_per_expert_hat_1_new.parquet,-0.0965413869315018,-0.08385204395303501,-0.03567959733417765,-0.06086178959732415,-0.12030638523238528,-0.10103624647262022,-0.03652697130537757,-0.08377941392700772,-0.1934732230910738,-0.1873249526068249,-0.009500608294591284,-0.08752078987729428,-0.17852270031411127,-0.06945508326278077,-0.164349944292368,-0.039384534729842255,-0.001991746209018931,-0.13827269012041504,-0.1362929215559942,-0.12180363838274932,-0.1335471020094448,-0.025969090950039173,0.012672770911398167,0.5266717096050837,0.4667894181913885
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,JohnsonSU,hc_values_map_agg_hat_1_new.parquet,-0.2043482771161384,-0.20763515355221962,0.0234619471556258,-0.2278102242717642,-0.15561934767845456,-0.15890232742090601,0.0009051503537132793,-0.15652449803216784,-0.09855834750253549,-0.09481991255488774,-0.006649699547688822,-0.1905833162645097,-0.10894325296833093,-0.1876254110923014,-0.09995525603314552,0.04166199333305308,-0.0020375482042397806,-0.06064491602476767,-0.05181764816532293,-0.08319125755101253,-0.05842042516657335,0.07250602337332847,0.02613452047792234,2.416281562527826,2.6837840025944164
Gemma 4 - 26B-A4B,Gemma 4 - 5B,lambada,JohnsonSU,hc_values_map_agg_standard_1_new.parquet,-0.2008310808887916,-0.2019476925444753,0.01611786941926159,-0.21694895030805317,-0.15658932349719384,-0.15970783255858573,0.0007019387150372787,-0.15729126221223114,-0.09958138873940021,-0.09359933766430274,-0.013805685928141803,-0.19191378834169864,-0.11387634272998423,-0.18558418537303595,-0.10101858912968976,0.030215936605990992,-0.014106268575071688,-0.07628014065759892,-0.07330878754586392,-0.0958981758925434,-0.07648601938517569,0.06656520193157509,0.019585304441428787,2.645504450578708,2.773553562439949
Gemma 4 - 26B-A4B,Gemma 4 - 5B,hellaswag,GMM,hc_values_per_expert_standard_1_new.parquet,0.07269576458354111,0.07665309721236387,-0.021447643907704796,0.09414340849124592,0.0644378669049095,0.0675398308915877,-0.006320750649253273,0.07075861755416278,0.062387529067580064,0.0669299695665527,-0.022933844862402984,0.0908471812861037,0.08168331489930139,0.09167465587648344,0.08415560346043392,-0.037690237909759006,-0.042029297932415735,0.08808497223552625,0.07577384277956652,0.10312266885096162,0.09120672640822361,-0.08162486236544494,-0.08047858402205751,1.5395384904320548,1.277414733591695
