Big Model,Small Model,Dataset,Estimator,HC_File,Pearson_Max_Per_Row_Big,Pearson_Max_Per_Row_Small,Pearson_Max_Per_Row_Diff,Difference_Pearson_Max_Per_Row,Spearman_Max_Per_Row_Big,Spearman_Max_Per_Row_Small,Spearman_Max_Per_Row_Diff,Difference_Spearman_Max_Per_Row,Partial_Pearson_Max_Per_Row_Big,Partial_Pearson_Max_Per_Row_Small,Partial_Pearson_Max_Per_Row_Diff,Pearson_Max_Per_Row_Big_Q50,Partial_Pearson_Max_Per_Row_Big_Q50,Pearson_Max_Per_Row_Small_Q50,Partial_Pearson_Max_Per_Row_Small_Q50,Pearson_Max_Per_Row_Diff_Q50,Partial_Pearson_Max_Per_Row_Diff_Q50,Pearson_Max_Per_Row_Big_Q90,Partial_Pearson_Max_Per_Row_Big_Q90,Pearson_Max_Per_Row_Small_Q90,Partial_Pearson_Max_Per_Row_Small_Q90,Pearson_Max_Per_Row_Diff_Q90,Partial_Pearson_Max_Per_Row_Diff_Q90,Avg_HC_Max_Per_Row,Median_HC_Max_Per_Row
Qwen,Qwen Small,lambada,GMM,hc_values_per_expert_standard_1_new.parquet,0.13087512363643655,0.22915378666863356,-0.160780519027163,0.29165564266359956,0.08731897556830462,0.19768176512662855,-0.14392949333549282,0.23124846890379744,0.10768769952917635,0.20176122502357707,-0.15280599093677383,0.14725191051747263,0.12037754329596762,0.2272573958847811,0.1991591042808783,-0.20877096790570615,-0.19674702717926557,0.13348211773762392,0.1079843847910881,0.14898212268094957,0.12517145484862935,-0.0722930674939851,-0.06792383869449875,1.362946179931761,1.0884791021003044
Qwen,Qwen Small,lambada,GMM,hc_values_per_expert_hat_1_new.parquet,0.12123847194518972,0.20626160637086777,-0.13884397192426384,0.26008244386945356,0.0642119394506694,0.17345608803408794,-0.14356112788648895,0.20777306733715833,0.10393934460676496,0.18491451355613772,-0.13111320739246066,0.12911326727766845,0.1086390726740543,0.20319572067368818,0.1808240123685219,-0.19113910707657808,-0.17978291418705566,0.13684181960335512,0.11728797857259668,0.1561465697409312,0.13760805890919808,-0.08121324845902367,-0.0772002005892473,0.8101333330100083,1.0184924801703732
Qwen,Qwen Small,lambada,GMM,hc_values_map_agg_hat_1_new.parquet,-0.050283684875851685,0.014530734180223628,-0.11031088856280455,0.060027203686952864,-0.08265308718741447,-0.02785466793358225,-0.09260887390765422,0.009955786720239751,-0.07006354305160703,-0.01356797164641753,-0.09700207645187692,-0.02446738384996363,-0.031695268557461465,0.02857496216948084,0.007287808245110899,-0.10170279647257327,-0.07123958860987441,0.056202302242471636,0.06702276926585879,0.06481114877128742,0.07437963623910296,-0.034769532569565734,-0.03542097966229865,1.1685854854954334,1.061763988755488
Qwen,Qwen Small,lambada,GMM,hc_values_map_agg_standard_1_new.parquet,-0.0699318860241927,-0.013131654628994788,-0.09748098359890006,0.02754909757470736,-0.09195470277373999,-0.05145224220410403,-0.07792035922374299,-0.014034343549996997,-0.07372462291824625,-0.01861884166335033,-0.09483201174785227,-0.03250502470179853,-0.03525708094189302,0.011955741203667034,0.00320363207420222,-0.08164175892026199,-0.06910607783309503,0.06160591287692071,0.06928526747226267,0.07061013764980448,0.07729580815154019,-0.03721346657456817,-0.037459368593796984,1.2776504841330723,1.1701213787112434
Qwen,Qwen Small,lambada,GLM,hc_values_per_expert_standard_1_new.parquet,0.07721472198559194,0.15854841770192507,-0.1340327084852045,0.21124743047079642,0.019138739440908308,0.12085421571099642,-0.13256236026089566,0.15170109970180395,0.046904978846316225,0.1201596418321741,-0.11849305040232229,0.07597659384594108,0.030317609316121624,0.14995839582699066,0.10070951248630505,-0.174955870757596,-0.15094755041134317,0.09150246281467067,0.04748062188983009,0.10663396246421364,0.06242148995016903,-0.058927640655943705,-0.044622477475574865,0.310224676161762,0.46404791141945145
Qwen,Qwen Small,lambada,GLM,hc_values_per_expert_hat_1_new.parquet,0.09876780207189181,0.17851224782808134,-0.1306916731120798,0.2294594751839716,0.02699961518749824,0.13032352915615342,-0.1345780471297606,0.16157766231725884,0.07518128123357144,0.14890024853550135,-0.11790340241747682,0.08874898595322493,0.051193431378652794,0.16232702370679375,0.12188177404403201,-0.177965899087474,-0.15749019778474044,0.09084224578759781,0.051790771981281646,0.10861979468791452,0.0694991908226841,-0.06423187183705466,-0.05156637401935238,0.10303470743294853,0.4566618494903409
Qwen,Qwen Small,lambada,GLM,hc_values_map_agg_hat_1_new.parquet,0.06608433519807061,0.13270948403986207,-0.1097052592958925,0.1757895944939631,0.008808042571856165,0.1030666411787484,-0.1222374452952881,0.13104548786714426,0.004413640342505782,0.04814881264764897,-0.07276042179505479,0.028852732668984082,0.014686449150685255,0.0976581808346924,0.04456295902926541,-0.1501444253987091,-0.06616073406527384,0.031796663524850256,0.06238699516183824,0.0450637614230474,0.07436185501500964,-0.037131489055540506,-0.043632096292291464,0.1434601966673469,0.5884121355382298
Qwen,Qwen Small,lambada,GLM,hc_values_map_agg_standard_1_new.parquet,0.05425207396701947,0.12261741859440681,-0.11299517699309566,0.16724725096011514,0.005109787898036385,0.09725924391661034,-0.1201419760035591,0.12525176390159548,-0.01085056028521438,0.035444738832616035,-0.07765272225013774,0.02238757557105007,0.0058189236263540885,0.09100033785706263,0.036185586954823996,-0.14780440747271115,-0.06455456761588786,0.03470462486784434,0.06506205413717979,0.0461064957527908,0.07466753707073019,-0.03412555746253243,-0.039509684968446764,0.24250135139191184,0.5892095553818354
Qwen,Qwen Small,lambada,StudentT,hc_values_per_expert_standard_1_new.parquet,0.0620543196432239,0.15015866402458228,-0.1458662161531724,0.2079205357963963,0.020039066854439083,0.12034451116455457,-0.13150797530591013,0.1515470421603492,0.053168511613385594,0.13321025125045266,-0.1319455324337101,0.0755050513490555,0.0530055482793135,0.15231903363690405,0.12565791732014245,-0.18063728164910725,-0.16436681529671945,0.11893761486896207,0.06895722571456457,0.13444484982004273,0.08215344097721176,-0.0679429375168966,-0.04732244070814263,0.9901341477541438,0.7508594475576368
Qwen,Qwen Small,lambada,StudentT,hc_values_per_expert_hat_1_new.parquet,0.06817042946823514,0.15243614127235566,-0.13923480525534143,0.20740523472357658,0.020191773755826523,0.12006265015704068,-0.13093067121812893,0.15112244497395544,0.05975624999511636,0.1362527771172842,-0.1257506193990515,0.07840118881712257,0.05745390152296099,0.15327539797680031,0.1282873553622616,-0.17751971913795514,-0.1619491761599817,0.1123025605915037,0.06599270724165722,0.1293311094094175,0.0809740764936873,-0.0691151195753921,-0.05011837325040372,0.8290126977101168,0.7303619655156242
